,companyName,symbol,dividend_Ex_Date,payment_Date,dividend_Rate,indicated_Annual_Dividend,curr_price,return,recommendation,etf
1689,AmTrust Financial Services Inc 7.625% PRF PERPETUAL USD 25 - Ser C,AFSIC,11/29/2024,12/16/2024,0.476563,1.9062,14.6,32.641301369863015,none,
1369,"Angel Oak Mortgage REIT, Inc. Common Stock",AOMR,11/19/2024,11/27/2024,0.32,1.28,9.81,32.61977573904179,buy,
1690,AmTrust Financial Services Inc 7.50% PRF PERPETUAL USD 25 - Ser D,AFSIP,11/29/2024,12/16/2024,0.46875,1.875,14.6,32.10616438356165,none,
1692,AmTrust Financial Services Inc 6.95% PRF PERPETUAL USD 25 - Ser F,AFSIN,11/29/2024,12/16/2024,0.434375,1.7375,13.85,31.362815884476536,none,
1238,"TXO Partners, L.P. Common Units Representing Limited Partner Interests",TXO,11/15/2024,11/22/2024,0.58,2.32,18.66,31.082529474812432,strong_buy,
1687,AmTrust Financial Services Inc 6.75% PRF PERPETUAL USD 25 - Ser A,AFSIA,11/29/2024,12/16/2024,0.421875,1.6875,13.6,31.020220588235293,none,
1262,Scope Industries,SCPJ,11/15/2024,12/17/2024,10.0,10.0,325.0,30.76923076923077,none,
725,Natural Health Trends Corp. Common Stock,NHTC,11/12/2024,11/22/2024,0.2,0.8,6.53,30.627871362940276,none,
1686,Connecticut Natural Gas Corp 8% PRF PERPETUAL USD 3.125,CTGSP,11/29/2024,12/30/2024,0.0625,0.25,2.05,30.487804878048784,none,
526,"Tectonic Financial, Inc. 9.00% Fixed-to-Floating Rate Series B Non-Cumulative Perpetual Preferred Stock",TECTP,11/05/2024,11/15/2024,0.3092146,1.236858,10.2,30.315156862745102,none,
971,FAT Brands Inc. Class B Common Stock,FATBB,11/15/2024,11/29/2024,0.14,0.56,4.65,30.10752688172043,none,
1495,OTC Markets Group Inc - Class A,OTCM,11/21/2024,12/05/2024,1.5,0.72,52.0,28.846153846153847,none,
1053,"American Financial Group, Inc. Common Stock",AFG,11/15/2024,11/26/2024,4.0,3.2,138.77,28.82467392087627,hold,
649,"Delek Logistics Partners, L.P. Common Units representing Limited Partner Interests",DKL,11/08/2024,11/14/2024,1.1,4.4,38.35,28.683181225554105,buy,
1018,"Cryo-Cell International, Inc. Common Stock",CCEL,11/15/2024,11/29/2024,0.25,1.0,8.7335,28.625407912062748,buy,
1598,Sotherly Hotels Inc. 8.25% Series D Cumulative Redeemable Perpetual Preferred Stock,SOHON,11/29/2024,12/16/2024,0.515625,2.0625,18.45,27.947154471544717,none,
1597,Sotherly Hotels Inc. 8.0% Series B Cumulative Redeemable Perpetual Preferred Stock,SOHOB,11/29/2024,12/16/2024,0.5,2.0,17.92,27.90178571428571,none,
892,"Air T, Inc. Air T Funding Alpha Income Trust Preferred Securities",AIRTP,11/14/2024,11/15/2024,0.5,2.0,17.95,27.85515320334262,none,
1148,Arbor Realty Trust Common Stock,ABR,11/15/2024,11/27/2024,0.43,1.72,15.53,27.688345138441726,hold,
1296,"Walgreens Boots Alliance, Inc. Common Stock",WBA,11/18/2024,12/12/2024,0.25,1.0,9.07,27.563395810363836,hold,
549,"Alliance Resource Partners, L.P. Common Units representing Limited Partners Interests",ARLP,11/07/2024,11/14/2024,0.7,2.8,25.68,27.258566978193148,buy,
1596,Sotherly Hotels Inc. 7.875% Series C Cumulative Redeemable Perpetual Preferred Stock,SOHOO,11/29/2024,12/16/2024,0.4921875,1.96875,18.11,27.177664273881835,none,
631,"Betterware de Mexico, S.A.P.I. de C.V. Ordinary Shares",BWMX,11/08/2024,11/15/2024,0.3378,1.3512,12.53,26.95929768555467,buy,
432,CrossAmerica Partners LP Common Units representing limited partner interests,CAPL,11/04/2024,11/13/2024,0.525,2.1,19.69,26.663280853224986,hold,
834,Aker BP,AKRBY,11/12/2024,11/27/2024,0.300374,1.2015,11.35,26.46466960352423,none,
1553,Chatham Corp,CHTM,11/25/2024,12/23/2024,47.5,59.62,1800.0,26.38888888888889,none,
846,"CaixaBank, S.A ADR",CAIXY,11/12/2024,11/22/2024,0.05385,0.0328,2.07,26.01449275362319,none,
1574,Mapfre Sociedad Anonima ADR,MPFRY,11/27/2024,12/16/2024,0.141219,0.2824,5.5,25.67618181818182,none,
970,FAT Brands Inc. Class A Common Stock,FAT,11/15/2024,11/29/2024,0.14,0.56,5.47,25.59414990859232,buy,
1496,Atea,ATEAY,11/21/2024,12/11/2024,0.159163,0.3183,6.25,25.46608,none,
1324,"Ternium S.A. Ternium S.A. American Depositary Shares (each representing ten shares, USD1.00 par value)",TX,11/18/2024,11/26/2024,0.9,1.8,35.44,25.39503386004515,buy,
1399,Cohen & Company Inc.,COHN,11/20/2024,12/05/2024,0.25,1.0,9.89,25.278058645096056,none,
633,"Black Stone Minerals, L.P. Common units representing limited partner interests",BSM,11/08/2024,11/15/2024,0.375,1.5,14.99,25.016677785190126,hold,
1345,DNO ASA ADR,DTNOY,11/18/2024,12/09/2024,0.286907,1.1476,11.5,24.9484347826087,none,
1270,Propel Media Inc,PROM,11/15/2024,11/22/2024,0.009978,0.0,0.4,24.945000000000004,none,
1271,Propel Media Inc,PROM,11/15/2024,11/22/2024,0.009978,0.0,0.4,24.945000000000004,none,
644,Community Healthcare Trust Incorporated Common Stock,CHCT,11/08/2024,11/22/2024,0.465,1.86,18.79,24.74720596061735,buy,
1164,NexPoint Diversified Real Estate Trust Common Stock,NXDT,11/15/2024,12/31/2024,0.15,0.6,6.07,24.71169686985173,none,
1371,Mediobanca - Banca Di Credito Finanziario Spa ADR,MDIBY,11/19/2024,1/01/0001,0.400867,0.4009,16.32,24.562928921568624,none,
1333,Kimbell Royalty Partners Common Units Representing Limited Partner Interests,KRP,11/18/2024,11/25/2024,0.41,1.64,16.76,24.46300715990453,buy,
1301,Sachem Capital Corp. Common Shares,SACH,11/18/2024,11/26/2024,0.05,0.2,2.06,24.271844660194173,buy,
1075,Liberty All-Star Equity Fund Common Stock,USA,11/15/2024,1/02/2025,0.18,0.72,7.42,24.258760107816713,none,
408,"Western Midstream Partners, LP Common Units Representing Limited Partner Interests",WES,11/01/2024,11/14/2024,0.875,3.5,36.08,24.25166297117517,hold,
1617,RLI Corp. Common Stock (DE),RLI,11/29/2024,12/20/2024,4.0,1.16,172.09,23.24365157766285,buy,
964,Diversified Healthcare Trust 6.25% Senior Notes Due 2046,DHCNL,11/15/2024,12/01/2024,0.390625,1.5625,16.99,22.991465567981166,none,
1332,Genco Shipping & Trading Limited Ordinary Shares New (Marshall Islands),GNK,11/18/2024,11/25/2024,0.4,1.6,17.43,22.948938611589213,buy,
1661,Diversified Energy Company plc Ordinary Shares,DEC,11/29/2024,12/27/2024,0.29,1.16,12.67,22.888713496448304,buy,
842,Naturgy Energy Group S.A. ADR,GASNY,11/12/2024,11/21/2024,0.10816,0.3123,4.75,22.770526315789475,none,
1694,Imperial Brands Plc ADR,IMBBY,11/29/2024,1/08/2025,0.6974961,2.79,30.67,22.741966090642318,hold,
423,Barings Participation Investors Common Stock,MPV,11/04/2024,11/15/2024,0.37,1.48,16.5425,22.3666314039595,none,
1523,"Compania Cervecerias Unidas, S.A. Common Stock",CCU,11/22/2024,1/01/0001,0.2457901,0.4916,11.13,22.083566936208445,hold,
72,Chimera Investment Corporation 9.250% Senior Notes due 2029,CIMO,11/01/2024,11/15/2024,0.5524,2.2096,25.44,21.71383647798742,none,
1540,Pernod Ricard S.A. (France) ADR (Sponsored),PRNDY,11/22/2024,12/27/2024,0.515449,1.0309,24.09,21.39680365296804,none,
416,AllianceBernstein Holding L.P.  Units,AB,11/04/2024,11/21/2024,0.77,3.08,36.71,20.975211114137835,buy,
809,Westlake Chemical Partners LP Common Units representing limited partner interests,WLKP,11/12/2024,11/27/2024,0.4714,1.8856,22.63,20.83075563411401,buy,
682,MPLX LP Common Units Representing Limited Partner Interests,MPLX,11/08/2024,11/15/2024,0.9565,3.826,45.98,20.80252283601566,buy,
422,Barings Corporate Investors Common Stock,MCI,11/04/2024,11/15/2024,0.4,1.6,19.26,20.768431983385252,none,
968,"Enstar Group Limited Depository Shares 7.00% Perpetual Non-Cumulative Preference Shares, Series E",ESGRO,11/15/2024,12/01/2024,0.4375,1.75,21.18,20.656279508970727,none,
864,Winmark Corporation Common Stock,WINA,11/13/2024,12/02/2024,8.4,3.6,410.46,20.464844321005703,buy,
1497,Atea,ATEAY,11/21/2024,12/11/2024,0.127331,0.3183,6.25,20.37296,none,
878,"Hercules Capital, Inc. Common Stock",HTGC,11/13/2024,11/20/2024,0.4,1.6,19.67,20.335536349771225,buy,
967,Enstar Group Limited Depositary Shares Each Representing 1/1000th of an interest in Preference Shares,ESGRP,11/15/2024,12/01/2024,0.4375,1.75,21.69,20.170585523282618,none,
1070,"Liberty All-Star Growth Fund, Inc.",ASG,11/15/2024,1/02/2025,0.12,0.48,6.0,20.0,none,
1196,"Easterly Government Properties, Inc. Common Stock",DEA,11/15/2024,11/27/2024,0.265,1.06,13.54,19.571639586410637,hold,
624,"Alexander's, Inc. Common Stock",ALX,11/08/2024,11/29/2024,4.5,18.0,230.19,19.54906816108432,underperform,
570,Hess Midstream LP Class A Share,HESM,11/07/2024,11/14/2024,0.6846,2.7384,35.07,19.520958083832337,buy,
1274,Aura Minerals Inc.,ORAAF,11/15/2024,12/02/2024,0.24,0.96,12.3,19.51219512195122,none,
1197,Great Ajax Corp. Common Stock,AJX,11/15/2024,11/29/2024,0.06,0.24,3.1,19.35483870967742,buy,
1334,"Invesco High Income 2024 Target Term Fund Common Shares of Beneficial Interest, No par value per share",IHTA,11/18/2024,12/02/2024,0.1471,0.24,7.685,19.141184124918677,none,
1260,Wal-mart de Mexico S A B de C V ADR,WMMVY,11/15/2024,11/22/2024,0.532859,0.5329,27.92,19.08520773638968,buy,
1339,Autoscope Technologies Corporation,AATC,11/18/2024,11/25/2024,0.15,0.6,7.91,18.963337547408344,none,
808,"OneMain Holdings, Inc. Common Stock",OMF,11/12/2024,11/18/2024,1.04,4.16,55.01,18.905653517542266,buy,
973,"First Guaranty Bancshares, Inc. 6.75% Series A Fixed-Rate Non-Cumulative Perpetual Preferred Stock",FGBIP,11/15/2024,12/02/2024,0.421875,1.6875,22.4731,18.772443499116722,none,
656,Energy Transfer LP Common Units ,ET,11/08/2024,11/19/2024,0.3225,1.29,17.3,18.641618497109825,buy,
1292,"Spok Holdings, Inc. Common Stock",SPOK,11/18/2024,12/09/2024,0.3125,1.25,17.05,18.328445747800586,buy,
659,FAT Brands Inc. 8.25% Series B Cumulative Preferred Stock,FATBP,11/08/2024,11/20/2024,0.171875,2.0625,9.41,18.265143464399575,none,
952,"Bridgewater Bancshares, Inc. Depositary Shares, Each Representing a 1/100th Interest in a Share of 5.875% Non-Cumulative Perpetual Preferred Stock, Series A",BWBBP,11/15/2024,12/02/2024,0.3672,1.4688,20.17,18.20525532969757,none,
1518,Tortoise Energy Infrastructure Corporation Common Stock,TYG,11/22/2024,11/29/2024,0.78,3.12,42.85,18.203033838973163,none,
1359,ENI S.p.A. Common Stock,E,11/19/2024,12/06/2024,0.54325,2.173,29.92,18.156751336898395,buy,
959,"CNB Financial Corporation Depositary Shares, each representing a 1/40th ownership interest in a share of 7.125% Series A Fixed-Rate Non-Cumulative Perpetual Preferred Stock",CCNEP,11/15/2024,11/29/2024,0.4453125,1.78125,25.0,17.8125,none,
1222,BlackRock Capital Allocation Term Trust Common Shares of Beneficial Interest,BCAT,11/15/2024,11/29/2024,0.28854,3.4625,16.3,17.701840490797547,none,
1704,Southern Bancshares Inc. PRF PERPETUAL USD - Class B 0%,SBNCM,11/29/2024,12/13/2024,0.23,0.92,13.1,17.557251908396946,none,
822,Organon & Co. Common Stock ,OGN,11/12/2024,12/12/2024,0.28,1.12,16.04,17.45635910224439,hold,
812,Healthcare Realty Trust Incorporated Common Stock,HR,11/12/2024,11/27/2024,0.31,1.24,17.78,17.435320584926885,hold,
1279,Enbridge Inc FXDFR PRF PERPETUAL USD 25 - Ser 1,EBBGF,11/15/2024,12/01/2024,0.41898,1.6759,24.05,17.42120582120582,none,
525,"Suburban Propane Partners, L.P. Common Stock",SPH,11/05/2024,11/12/2024,0.325,1.3,18.71,17.370390165686796,hold,
1012,Taitron Components Incorporated Class A Common Stock,TAIT,11/15/2024,11/27/2024,0.05,0.2,2.88,17.36111111111111,none,
1276,Enbridge Inc FXDFR PRF PERPETUAL USD 25 - Ser 5,EBGEF,11/15/2024,12/01/2024,0.41769,1.6708,24.115,17.32075471698113,none,
518,"Old National Bancorp Depositary Shares, Each Representing a 1/40th Interest in a Share of Series C Preferred Stock",ONBPO,11/05/2024,11/20/2024,0.4375,1.75,25.34,17.265193370165747,none,
517,"Old National Bancorp Depositary Shares, Each Representing a 1/40th Interest in a Share of Series A Preferred Stock",ONBPP,11/05/2024,11/20/2024,0.4375,1.75,25.36,17.251577287066247,none,
1228,BlackRock ESG Capital Allocation Term Trust Common Shares of Beneficial Interest,ECAT,11/15/2024,11/29/2024,0.30503,3.6604,17.69,17.243075183719615,none,
647,"CVR Partners, LP Common Units representing Limited Partner Interests",UAN,11/08/2024,11/18/2024,1.19,4.76,69.04,17.236384704519118,hold,
960,Coca-Cola Europacific Partners plc Ordinary Shares,CCEP,11/15/2024,12/03/2024,1.34,1.58,77.89,17.203748876620875,buy,
1190,Artisan Partners Asset Management Inc. Class A Common Stock,APAM,11/15/2024,11/29/2024,0.82,3.28,47.96,17.097581317764803,hold,
650,"Dime Community Bancshares, Inc. Fixed-Rate Non-Cumulative Perpetual Preferred Stock, Series A",DCOMP,11/08/2024,11/15/2024,0.34375,1.375,20.14,17.068023833167825,none,
844,Aperam SA New York Shares,APEMY,11/12/2024,12/06/2024,0.462697,1.8508,27.11,17.067392106233864,none,
1250,Juniata Valley Financial Corp.,JUVF,11/15/2024,11/29/2024,0.22,0.88,12.98,16.949152542372882,none,
986,LuxUrban Hotels Inc. 13.00% Series A Cumulative Redeemable Preferred Stock,LUXHP,11/15/2024,11/29/2024,0.2708333,3.25,15.9999,16.92718704491903,none,
1001,"Pinnacle Financial Partners, Inc. Depositary shares of Pinnacle Financial Partners, Inc., each representing a 1/40th Interest in a share of its 6.75% Fixed-Rate Non-Cumulative Perpetual Preferred Stock, Series B",PNFPP,11/15/2024,12/01/2024,0.422,1.688,24.95,16.913827655310623,none,
1632,"Granite Ridge Resources, Inc. Common Stock",GRNT,11/29/2024,12/16/2024,0.11,0.44,6.51,16.897081413210447,buy,
404,"WesBanco, Inc. Depositary Shares, Each Representing a 1/40th Interest in a Share of 6.75% Fixed-Rate Reset Non-Cumulative Perpetual Preferred Stock, Series A",WSBCP,11/01/2024,11/15/2024,0.421875,1.6875,25.04,16.848043130990416,none,
705,Sunoco LP Common Units representing limited partner interests,SUN,11/08/2024,11/19/2024,0.8756,3.5024,52.58,16.652719665271967,buy,
635,BP p.l.c. Common Stock,BP,11/08/2024,12/20/2024,0.48,1.92,28.93,16.59177324576564,buy,
1273,Enbridge Inc FXDFR PRF PERPETUAL USD 25 - Ser L,EBBNF,11/15/2024,12/01/2024,0.36612,1.4645,22.07,16.589034888989577,none,
475,"Postal Realty Trust, Inc. Class A Common Stock",PSTL,11/04/2024,11/29/2024,0.24,0.96,14.49,16.563146997929607,buy,
996,Oxford Lane Capital Corp. Common Stock,OXLC,11/15/2024,11/29/2024,0.09,1.08,5.45,16.513761467889907,strong_buy,
469,"Omega Healthcare Investors, Inc. Common Stock",OHI,11/04/2024,11/15/2024,0.67,2.68,41.35,16.203143893591292,hold,
625,"America Movil, S.A.B. de C.V. American Depositary Shares (each representing the right to receive twenty (20) Series B Shares",AMX,11/08/2024,11/18/2024,0.24499,0.245,15.22,16.09658344283837,buy,
1259,Tenaris S.A.,TNRSF,11/15/2024,11/20/2024,0.27,0.54,16.81,16.06186793575253,none,
1370,Tenaris S.A.,TNRSF,11/19/2024,11/20/2024,0.27,0.54,16.81,16.06186793575253,none,
1257,Klabin S.A. ADR,KLBAY,11/15/2024,12/02/2024,0.12172,0.6128,7.6,16.01578947368421,strong_buy,
1531,"National Grid Transco, PLC National Grid PLC (NEW) American Depositary Shares",NGG,11/22/2024,1/14/2025,1.0196,2.0392,63.94,15.94619956208946,buy,
32,Bank OZK 4.625% Series A Non-Cumulative Perpetual Preferred Stock,OZKAP,11/01/2024,11/15/2024,0.28906,1.15624,18.16,15.917400881057269,none,
1003,"Resources Connection, Inc. Common Stock",RGP,11/15/2024,12/16/2024,0.14,0.56,8.8,15.909090909090908,hold,
845,"CaixaBank, S.A ADR",CAIXY,11/12/2024,11/22/2024,0.032849,0.0328,2.07,15.869082125603867,none,
1392,Joint Stock Company Kaspi.kz American Depository Shares,KSPI,11/20/2024,11/10/2024,1.756452,7.603816,110.88,15.841017316017316,buy,
1039,Whirlpool Corporation Common Stock,WHR,11/15/2024,12/15/2024,1.75,7.0,110.51,15.83567098000181,hold,
1352,"OFS Credit Company, Inc. Common Stock",OCCI,11/19/2024,11/29/2024,0.115,1.38,7.27,15.81843191196699,strong_buy,
691,"Pfizer, Inc. Common Stock",PFE,11/08/2024,12/02/2024,0.42,1.68,26.72,15.718562874251498,buy,
1707,Bellway plc ADR,BLWYY,11/29/2024,1/23/2025,0.49324,0.9865,31.39,15.713284485504937,none,
885,Clipper Realty Inc. Common Stock,CLPR,11/13/2024,11/27/2024,0.095,0.38,6.13,15.497553017944535,hold,
1265,Equinor ASA,STOHF,11/15/2024,11/29/2024,0.35,1.4,22.59,15.493581230633023,none,
428,"Cheniere Energy Partners, LP Common Units",CQP,11/04/2024,11/14/2024,0.775,3.1,50.17,15.447478572852301,underperform,
835,Aker BP,AKRBY,11/12/2024,11/27/2024,0.17528,1.2015,11.35,15.4431718061674,none,
1355,Equinor ASA,EQNR,11/19/2024,11/29/2024,0.35,0.0,22.78,15.364354697102721,buy,
1008,"Sabra Health Care REIT, Inc. Common Stock",SBRA,11/15/2024,11/29/2024,0.3,1.2,19.55,15.345268542199488,buy,
1338,Sainsbury (J) plc ADR,JSAIY,11/18/2024,12/30/2024,0.202503,0.405,13.25,15.283245283018866,underperform,
1344,Securitas AB ADR,SCTBY,11/18/2024,12/06/2024,0.187493,0.1875,12.348,15.184078393262066,none,
797,Adecoagro S.A. Common Shares,AGRO,11/12/2024,11/27/2024,0.174,0.348,11.49,15.143603133159269,buy,
1516,"Tortoise Midstream Energy Fund, Inc. Common Stock",NTG,11/22/2024,11/29/2024,0.81,3.24,53.54,15.128875607022787,none,
1662,Dow Inc. Common Stock ,DOW,11/29/2024,12/13/2024,0.7,2.8,46.49,15.05700150570015,hold,
668,Global Partners LP Common Units representing Limited Partner Interests,GLP,11/08/2024,11/14/2024,0.73,2.92,48.64,15.008223684210526,buy,
982,Huntington Bancshares Incorporated Depositary Shares each representing a 1/1000th interest in a share of Huntington Series I Preferred Stock,HBANM,11/15/2024,12/02/2024,0.35625,1.425,23.83,14.94964330675619,none,
962,"ConnectOne Bancorp, Inc. Depositary Shares, each representing a 1/40th interest in a share of 5.25% Fixed-Rate Reset Non-Cumulative Perpetual Preferred Stock, Series A",CNOBP,11/15/2024,12/02/2024,0.328125,1.3125,21.95,14.94874715261959,none,
1579,"Enterprise Financial Services Corporation Depositary Shares Each Representing a 1/40th Interest in a Share of 5% Fixed Rate Non-Cumulative Perpetual Preferred Stock, Series A",EFSCP,11/29/2024,12/15/2024,0.3125,0.0,20.93,14.930721452460583,none,
1528,"Tortoise Energy Independence Fund, Inc. Common Stock",NDP,11/22/2024,11/29/2024,0.63,2.52,42.36,14.872521246458923,none,
629,"Banco Latinoamericano de Comercio Exterior, S.A.",BLX,11/08/2024,11/26/2024,0.5,2.0,33.72,14.827995255041518,strong_buy,
1642,Ardmore Shipping Corporation Common Stock,ASC,11/29/2024,12/13/2024,0.18,0.72,12.15,14.814814814814815,buy,
1312,"Highwoods Properties, Inc. Common Stock",HIW,11/18/2024,12/10/2024,0.5,2.0,33.79,14.79727730097662,hold,
1445,Gerdau S.A. Common Stock,GGB,11/21/2024,12/23/2024,0.0528094,0.2112,3.57,14.792549019607844,buy,
1360,Tenaris S.A. American Depositary Shares,TS,11/19/2024,11/20/2024,0.54,1.08,36.97,14.606437652150392,buy,
1266,Ledyard Financial Group Inc,LFGP,11/15/2024,12/06/2024,0.21,0.84,14.4,14.583333333333332,none,
1551,"CBL & Associates Properties, Inc. Common Stock",CBL,11/25/2024,12/11/2024,0.4,1.6,27.6,14.492753623188404,buy,
1695,First National Bank Alaska,FBAK,11/29/2024,12/19/2024,3.2,12.8,221.0,14.479638009049774,none,
1696,First National Bank Alaska,FBAK,11/29/2024,12/19/2024,3.2,12.8,221.0,14.479638009049774,none,
1697,First National Bank Alaska,FBAK,11/29/2024,12/16/2024,3.2,12.8,221.0,14.479638009049774,none,
811,Eagle Point Credit Company Inc. Common Stock,ECC,11/12/2024,11/29/2024,0.14,1.68,9.7,14.43298969072165,buy,
1580,"First Citizens BancShares, Inc. 5.625% Non-Cumulative Perpetual Preferred Stock, Series C",FCNCO,11/29/2024,12/16/2024,0.351563,1.406252,24.4,14.408319672131148,none,
1346,DNO ASA ADR,DTNOY,11/18/2024,12/09/2024,0.16518,1.1476,11.5,14.363478260869567,none,
1652,"Reinsurance Group of America, Incorporated 5.75% Fixed-To-Floating Rate Subordinated Debentures due 2056",RZB,11/29/2024,12/16/2024,0.359375,1.4375,25.04,14.352036741214057,none,
437,"First Interstate BancSystem, Inc. Common Stock (DE)",FIBK,11/04/2024,11/14/2024,0.47,1.88,32.77,14.342386328959412,hold,
847,Seplat Energy,SEPLF,11/12/2024,11/27/2024,0.036,0.144,2.52,14.285714285714286,none,
1219,"American Financial Group, Inc. 5.625% Subordinated Debentures due 2060",AFGD,11/15/2024,12/02/2024,0.3515625,1.4062,24.75,14.204545454545455,none,
794,"Delek US Holdings, Inc. Common Stock",DK,11/12/2024,11/18/2024,0.255,1.02,18.04,14.135254988913527,hold,
679,Marine Products Corporation Common Stock,MPX,11/08/2024,12/10/2024,0.14,0.56,9.91,14.127144298688194,hold,
1582,"First Citizens BancShares, Inc. Depositary Shares",FCNCP,11/29/2024,12/16/2024,0.335938,1.343752,24.0,13.997416666666666,none,
1595,"Presidio Property Trust, Inc. 9.375% Series D Cumulative Redeemable Perpetual Preferred Stock, $0.01 par value per share",SQFTP,11/29/2024,12/16/2024,0.19531,2.34372,14.045,13.906016375934497,none,
843,Naturgy Energy Group S.A. ADR,GASNY,11/12/2024,11/21/2024,0.065977,0.3123,4.75,13.889894736842104,none,
685,"Northwest Bancshares, Inc. Common Stock",NWBI,11/08/2024,11/18/2024,0.2,0.8,14.52,13.774104683195592,hold,
1246,Citizens Bancshares Corp South Carolina,CITZ,11/15/2024,12/02/2024,0.42,0.42,30.5,13.770491803278688,none,
1668,"American Financial Group, Inc. 4.500% Subordinated Debentures due 2060",AFGE,11/29/2024,12/16/2024,0.28125,1.125,20.46,13.74633431085044,none,
562,Ford Motor Company Common Stock,F,11/07/2024,12/02/2024,0.15,0.6,10.97,13.673655423883318,hold,
537,Kearny Financial Corp Common Stock,KRNY,11/06/2024,11/20/2024,0.11,0.44,8.11,13.563501849568436,hold,
1393,Karat Packaging Inc. Common Stock,KRT,11/20/2024,11/29/2024,0.4,2.0,29.62,13.504388926401079,buy,
899,"Hennessy Advisors, Inc. Common Stock",HNNA,11/14/2024,11/27/2024,0.1375,0.55,10.2,13.480392156862745,buy,
