,companyName,symbol,dividend_Ex_Date,payment_Date,dividend_Rate,indicated_Annual_Dividend
25,Avantis Core Fixed Income ETF,AVIG,11/01/2024,11/05/2024,0.1697,1.8539
26,Avantis Core Municipal Fixed Income ETF,AVMU,11/01/2024,11/05/2024,0.1409,1.4292
27,Avantis Short-Term Fixed Income ETF,AVSF,11/01/2024,11/05/2024,0.1616,1.9863
28,"Bank of America Corporation Depositary Shares (Each representing a 1/1200th Interest in a Share of Floating Rate Non-Cumulative Preferred Stock, Series 5)",BML^L,11/01/2024,11/21/2024,0.37616,1.5046
29,"Bank of America Corporation Depositary shares, each representing 1/1,000th interest in a share of 4.250% Non-Cumulative Preferred Stock, Series QQ",BAC^Q,11/01/2024,11/18/2024,0.265625,1.0625
30,"Bank of America Corporation Depositary shares, each representing 1/1,000th interest in a share of 4.750% Non-Cumulative Preferred Stock, Series SS",BAC^S,11/01/2024,11/18/2024,0.296875,1.1875
31,"Bank of America Corporation Depositary Shares, each representing a 1/1,000th interest in a share of 6.000% Non-Cumulative Preferred Stock, Series GG",BAC^B,11/01/2024,11/18/2024,0.375,1.5
32,Bank OZK 4.625% Series A Non-Cumulative Perpetual Preferred Stock,OZKAP,11/01/2024,11/15/2024,0.28906,1.15624
33,"BCB Bancorp, Inc. (NJ) Common Stock",BCBP,11/01/2024,11/15/2024,0.16,0.64
34,BNY Mellon Core Bond ETF,BKAG,11/01/2024,11/06/2024,0.1477,1.6487
35,BNY Mellon High Yield ETF,BKHY,11/01/2024,11/06/2024,0.2948,3.566
36,BNY Mellon Responsible Horizons Corporate Bond ETF,RHCB,11/01/2024,11/06/2024,0.185,2.1164
37,BNY Mellon Ultra Short Income ETF,BKUI,11/01/2024,11/06/2024,0.208,2.4411
38,BondBloxx B-Rated USD High Yield Corporate Bond ETF,XB,11/01/2024,11/06/2024,0.2422,3.0824
39,BondBloxx BB-Rated USD High Yield Corporate Bond ETF,XBB,11/01/2024,11/06/2024,0.215,2.5472
40,BondBloxx BBB Rated 1-5 Year Corporate Bond ETF,BBBS,11/01/2024,11/06/2024,0.2203,2.2092
41,BondBloxx BBB Rated 10+ Year Corporate Bond ETF,BBBL,11/01/2024,11/06/2024,0.2601,2.7658
42,BondBloxx BBB Rated 5-10 Year Corporate Bond ETF,BBBI,11/01/2024,11/06/2024,0.216,2.4354
43,BondBloxx Bloomberg Five Year Target Duration US Treasury ETF,XFIV,11/01/2024,11/06/2024,0.1615,1.8767
44,BondBloxx Bloomberg One Year Target Duration US Treasury ETF,XONE,11/01/2024,11/06/2024,0.2087,2.645
45,BondBloxx Bloomberg Seven Year Target Duration US Treasury ETF,XSVN,11/01/2024,11/06/2024,0.1818,1.8312
46,BondBloxx Bloomberg Six Month Target Duration US Treasury ETF,XHLF,11/01/2024,11/06/2024,0.2047,2.5518
47,BondBloxx Bloomberg Ten Year Target Duration US Treasury ETF,XTEN,11/01/2024,11/06/2024,0.1648,1.8514
48,BondBloxx Bloomberg Three Year Target Duration US Treasury ETF,XTRE,11/01/2024,11/06/2024,0.1576,2.0657
49,BondBloxx Bloomberg Twenty Year Target Duration US Treasury ETF,XTWY,11/01/2024,11/06/2024,0.1675,1.7887
50,BondBloxx Bloomberg Two Year Target Duration US Treasury ETF,XTWO,11/01/2024,11/06/2024,0.1842,2.2605
51,BondBloxx CCC-Rated USD High Yield Corporate Bond ETF,XCCC,11/01/2024,11/06/2024,0.346,4.176
52,BondBloxx IR+M Tax-Aware Short Duration ETF,TAXX,11/01/2024,11/06/2024,0.1472,1.8399
53,BondBloxx USD High Yield Bond Consumer Cyclicals Sector ETF,XHYC,11/01/2024,11/06/2024,0.2049,2.5495
54,BondBloxx USD High Yield Bond Consumer Non-Cyclicals Sector ETF,XHYD,11/01/2024,11/06/2024,0.1941,2.3925
55,BondBloxx USD High Yield Bond Energy Sector ETF,XHYE,11/01/2024,11/06/2024,0.2153,2.7613
56,BondBloxx USD High Yield Bond Financial & REIT Sector ETF,XHYF,11/01/2024,11/06/2024,0.2197,2.7004
57,BondBloxx USD High Yield Bond Healthcare Sector ETF,XHYH,11/01/2024,11/06/2024,0.2037,2.4641
58,BondBloxx USD High Yield Bond Industrial Sector ETF,XHYI,11/01/2024,11/06/2024,0.2059,2.6509
59,BondBloxx USD High Yield Bond Sector Rotation ETF,HYSA,11/01/2024,11/06/2024,0.0849,1.0966
60,"BondBloxx USD High Yield Bond Telecom, Media & Technology Sector ETF",XHYT,11/01/2024,11/06/2024,0.2338,2.8409
61,BrandywineGLOBAL - U.S. Fixed Income ETF,USFI,11/01/2024,11/06/2024,0.096478,1.157736
62,British Pound Sterling Trust,FXB,11/01/2024,11/07/2024,0.3215,3.9346
63,Burford Capital Limited Ordinary Shares,BUR,11/01/2024,12/05/2024,0.0625,0.125
64,"Cadre Holdings, Inc. Common Stock",CDRE,11/01/2024,11/15/2024,0.0875,0.35
65,Calamos Alternative Nasdaq & Bond ETF,CANQ,11/01/2024,11/07/2024,0.1316,1.5792
66,Calamos CEF Income & Arbitrage ETF,CCEF,11/01/2024,11/07/2024,0.191,2.101
67,Calamos Convertible Equity Alternative ETF,CVRT,11/01/2024,11/07/2024,0.0263,0.4272
68,Canadian Dollar Trust,FXC,11/01/2024,11/07/2024,0.0974,1.6367
69,"Capitol Federal Financial, Inc. Common Stock",CFFN,11/01/2024,11/15/2024,0.085,0.34
70,"Casey's General Stores, Inc. Common Stock",CASY,11/01/2024,11/15/2024,0.5,2.0
71,Chimera Investment Corporation 9.000% Senior Notes due 2029,CIMN,11/01/2024,11/15/2024,0.5625,2.25
72,Chimera Investment Corporation 9.250% Senior Notes due 2029,CIMO,11/01/2024,11/15/2024,0.5524,2.2096
73,Columbia Diversified Fixed Income Allocation ETF,DIAL,11/01/2024,11/05/2024,0.07098,0.7848
74,Columbia Multi-Sector Municipal Income ETF,MUST,11/01/2024,11/05/2024,0.05626,0.6066
75,Columbia Short Duration Bond ETF,SBND,11/01/2024,11/05/2024,0.07442,0.8165
76,Columbia Short Duration High Yield ETF,HYSD,11/01/2024,11/05/2024,0.09518,0.0783
77,Columbia U.S. High Yield ETF,NJNK,11/01/2024,11/05/2024,0.10718,0.0887
78,Costco Wholesale Corporation Common Stock,COST,11/01/2024,11/15/2024,1.16,4.64
79,Defiance Nasdaq 100 Income Target ETF,QQQT,11/01/2024,11/04/2024,0.3213,3.8556
80,Defiance Oil Enhanced Options Income ETF,USOY,11/01/2024,11/04/2024,0.7833,9.3996
81,Defiance S&P 500 Target Income ETF,SPYT,11/01/2024,11/04/2024,0.3324,3.9912
82,"Donegal Group, Inc. Class A Common Stock",DGICA,11/01/2024,11/15/2024,0.1725,0.69
83,"Donegal Group, Inc. Class B Common Stock",DGICB,11/01/2024,11/15/2024,0.155,0.62
84,DoubleLine Commercial Real Estate ETF,DCRE,11/01/2024,11/07/2024,0.2216,2.6919
85,DoubleLine Mortgage ETF,DMBS,11/01/2024,11/07/2024,0.2108,2.2407
86,DoubleLine Opportunistic Bond ETF,DBND,11/01/2024,11/07/2024,0.1904,2.3247
87,"EnLink Midstream, LLC Common Units representing Limited Partner Interests",ENLC,11/01/2024,11/14/2024,0.1325,0.53
88,Euro Currency Trust,FXE,11/01/2024,11/07/2024,0.1595,2.2597
89,F/m 10-Year Investment Grade Corporate Bond ETF,ZTEN,11/01/2024,11/04/2024,0.21027902,2.6892
90,F/m 2-Year Investment Grade Corporate Bond ETF,ZTWO,11/01/2024,11/04/2024,0.18940945,2.5736
91,F/m 3-Year Investment Grade Corporate Bond ETF,ZTRE,11/01/2024,11/04/2024,0.18778427,2.5263
92,F/m Opportunistic Income ETF,XFIX,11/01/2024,11/04/2024,0.237142,2.845704
93,First Trust High Yield Opportunities 2027 Term Fund Common Stock,FTHY,11/01/2024,11/25/2024,0.125,1.5
94,First Trust Intermediate Duration Preferred & Income Fund Common Shares of Beneficial Interest,FPF,11/01/2024,11/15/2024,0.1375,1.65
95,First Trust Motgage Income Fund Common Shares of Beneficial Interest,FMY,11/01/2024,11/15/2024,0.075,0.9
96,First Trust Senior Floating Rate Income Fund II Common Shares of Beneficial Interest,FCT,11/01/2024,11/15/2024,0.097,1.164
97,FlexShares Credit-Scored US Corporate Bond Index Fund,SKOR,11/01/2024,11/07/2024,0.200484,2.405808
98,FlexShares Disciplined Duration MBS Index Fund,MBSD,11/01/2024,11/07/2024,0.0596,0.7378
99,FlexShares ESG & Climate Investment Grade Corporate Core Index Fund,FEIG,11/01/2024,11/07/2024,0.1639,1.8976
100,FlexShares High Yield Value-Scored Bond Index Fund,HYGV,11/01/2024,11/07/2024,0.2581,3.4712
101,FlexShares iBoxx 3 Year Target Duration TIPS Index Fund,TDTT,11/01/2024,11/07/2024,0.0501,1.1427
102,FlexShares iBoxx 5 Year Target Duration TIPS Index Fund,TDTF,11/01/2024,11/07/2024,0.0456,1.1381
103,FlexShares Ultra-Short Income Fund,RAVI,11/01/2024,11/07/2024,0.3182,3.9903
104,Franklin Dynamic Municipal Bond ETF,FLMI,11/01/2024,11/06/2024,0.0929,0.9727
105,Franklin Financial Services Corporation Common Stock,FRAF,11/01/2024,11/27/2024,0.32,1.28
106,Franklin Investment Grade Corporate ETF,FLCO,11/01/2024,11/06/2024,0.0887,0.9438
107,Franklin Municipal Green Bond ETF,FLMB,11/01/2024,11/06/2024,0.0841,0.8827
108,Franklin Short Duration U.S. Government ETF,FTSD,11/01/2024,11/06/2024,0.3915,4.2748
109,Franklin U.S. Core Bond ETF,FLCB,11/01/2024,11/06/2024,0.0815,0.8537
110,Franklin U.S. Treasury Bond ETF,FLGV,11/01/2024,11/06/2024,0.077,0.7881
111,Franklin Ultra Short Bond ETF,FLUD,11/01/2024,11/06/2024,0.1162,1.2549
112,Global Partners LP 9.50% Series B Fixed Rate Cumulative Redeemable Perpetual Preferred Units representing limited partner interests,GLP^B,11/01/2024,11/15/2024,0.59375,2.375
113,Goldman Sachs Access High Yield Corporate Bond ETF,GHYB,11/01/2024,11/07/2024,0.25675,2.874
114,Goldman Sachs Access Investment Grade Corporate 1-5 Year Bond ETF,GSIG,11/01/2024,11/07/2024,0.184,2.0704
115,Goldman Sachs Access Investment Grade Corporate Bond ETF,GIGB,11/01/2024,11/07/2024,0.17673,1.9339
116,Goldman Sachs Access Treasury 0-1 Year ETF,GBIL,11/01/2024,11/07/2024,0.3934,5.1381
117,Goldman Sachs Access U.S. Aggregate Bond ETF,GCOR,11/01/2024,11/07/2024,0.13488,1.7487
118,Goldman Sachs Access U.S. Preferred Stock and Hybrid Securities ETF,GPRF,11/01/2024,11/07/2024,0.21962,2.63544
119,Goldman Sachs Community Municipal Bond ETF,GMUN,11/01/2024,11/07/2024,0.12249,1.5532
120,Goldman Sachs Dynamic California Municipal Income ETF,GCAL,11/01/2024,11/07/2024,0.1313,1.8184
121,Goldman Sachs Dynamic New York Municipal Income ETF,GMNY,11/01/2024,11/07/2024,0.1328,1.8625
122,Goldman Sachs Municipal Income ETF,GMUB,11/01/2024,11/07/2024,0.1423,1.845
123,Goldman Sachs Ultra Short Municipal Income ETF,GUMI,11/01/2024,11/07/2024,0.1403,1.6026
124,"Hartford Financial Services Group, Inc. (The) Depositary Shares each representing a 1/1,000th interest in a share of 6.000% Non-Cumulative Preferred Stock, Series G, $0.01 par value",HIG^G,11/01/2024,11/15/2024,0.375,1.5
125,Hexcel Corporation Common Stock,HXL,11/01/2024,11/08/2024,0.15,0.6
126,Ionic Inflation Protection ETF,CPII,11/01/2024,11/05/2024,0.0451,1.1016
127,iShares  Agency Bond ETF,AGZ,11/01/2024,11/06/2024,0.328532,3.6836
128,iShares 0-3 Month Treasury Bond ETF,SGOV,11/01/2024,11/06/2024,0.415164,5.2494
129,iShares 0-5 Year High Yield Corporate Bond ETF,SHYG,11/01/2024,11/06/2024,0.25498,2.8747
130,iShares 0-5 Year Investment Grade Corporate Bond ETF,SLQD,11/01/2024,11/06/2024,0.159465,1.91358
131,iShares 0-5 Year TIPS Bond ETF,STIP,11/01/2024,11/06/2024,0.112119,3.4977
132,iShares 1-3 Year Treasury Bond ETF,SHY,11/01/2024,11/06/2024,0.283144,3.397728
133,iShares 1-5 Year Investment Grade Corporate Bond ETF,IGSB,11/01/2024,11/06/2024,0.18364,2.20368
134,iShares 10  Year Investment Grade Corporate Bond ETF,IGLB,11/01/2024,11/06/2024,0.220403,2.4996
135,iShares 10-20 Year Treasury Bond ETF,TLH,11/01/2024,11/06/2024,0.371307,4.2346
136,iShares 20+ Year Treasury Bond ETF,TLT,11/01/2024,11/06/2024,0.310541,3.726492
137,iShares 3-7 Year Treasury Bond ETF,IEI,11/01/2024,11/06/2024,0.320255,3.84306
138,iShares 5-10 Year Investment Grade Corporate Bond ETF,IGIB,11/01/2024,11/06/2024,0.193862,2.326344
139,iShares 7-10 Year Treasury Bond ETF,IEF,11/01/2024,11/06/2024,0.291583,3.498996
140,iShares Aaa A Rated Corporate Bond ETF,QLTA,11/01/2024,11/06/2024,0.156066,1.8573
141,iShares AAA CLO Active ETF,CLOA,11/01/2024,11/06/2024,0.268211,3.218532
142,iShares BB Rated Corporate Bond ETF,HYBB,11/01/2024,11/06/2024,0.245464,2.8267
143,iShares BBB Rated Corporate Bond ETF,LQDB,11/01/2024,11/06/2024,0.329137,3.7272
144,iShares Broad USD Investment Grade Corporate Bond ETF,USIG,11/01/2024,11/06/2024,0.191333,2.295996
145,iShares California Muni Bond ETF,CMF,11/01/2024,11/06/2024,0.141878,1.5265
146,iShares CMBS Bond ETF,CMBS,11/01/2024,11/06/2024,0.136347,1.5126
147,iShares Core 1-5 Year USD Bond ETF,ISTB,11/01/2024,11/06/2024,0.159381,1.912572
148,iShares Core 10  Year USD Bond ETF,ILTB,11/01/2024,11/06/2024,0.202119,2.3784
149,iShares Core 5-10 Year USD Bond ETF,IMTB,11/01/2024,11/06/2024,0.154559,1.8711
150,iShares Core Total USD Bond Market ETF,IUSB,11/01/2024,11/06/2024,0.157693,1.892316
151,iShares Core U.S. Aggregate Bond ETF,AGG,11/01/2024,11/06/2024,0.310262,3.4893
152,iShares Enhanced Short-Term Bond Active ETF,CSHP,11/01/2024,11/06/2024,0.247234,5.9497
153,iShares ESG Advanced High Yield Corporate Bond ETF,HYXF,11/01/2024,11/06/2024,0.242614,2.911368
154,iShares ESG Advanced Investment Grade Corporate Bond ETF,ELQD,11/01/2024,11/06/2024,0.284214,3.3464
155,iShares ESG Advanced Total USD Bond Market ETF,EUSB,11/01/2024,11/06/2024,0.135607,1.4939
156,iShares ESG Aware 1-5 Year USD Corporate Bond ETF,SUSB,11/01/2024,11/06/2024,0.084995,1.01994
157,iShares ESG Aware U.S. Aggregate Bond ETF,EAGG,11/01/2024,11/06/2024,0.15066,1.7805
158,iShares ESG Aware USD Corporate Bond ETF,SUSC,11/01/2024,11/06/2024,0.082937,0.995244
159,iShares Fallen Angels USD Bond ETF,FALN,11/01/2024,11/06/2024,0.140883,1.690596
160,iShares Flexible Income Active ETF,BINC,11/01/2024,11/06/2024,0.239702,2.9023
161,iShares GNMA Bond ETF,GNMA,11/01/2024,11/06/2024,0.146755,1.76106
162,iShares Government/Credit Bond ETF,GBF,11/01/2024,11/06/2024,0.329199,4.0333
163,iShares High Yield Active ETF,BRHY,11/01/2024,11/06/2024,0.301086,3.613032
164,iShares iBonds Dec 2024 Term Corporate ETF,IBDP,11/01/2024,11/06/2024,0.108469,0.9636
165,iShares iBonds Dec 2024 Term Treasury ETF,IBTE,11/01/2024,11/06/2024,0.100355,1.20426
166,iShares iBonds Dec 2025 Term Corporate ETF,IBDQ,11/01/2024,11/06/2024,0.079773,0.9214
167,iShares iBonds Dec 2025 Term Treasury ETF,IBTF,11/01/2024,11/06/2024,0.085472,1.025664
168,iShares iBonds Dec 2026 Term Corporate ETF,IBDR,11/01/2024,11/06/2024,0.084526,0.951
169,iShares iBonds Dec 2026 Term Treasury ETF,IBTG,11/01/2024,11/06/2024,0.079204,0.950448
170,iShares iBonds Dec 2027 Term Corporate ETF,IBDS,11/01/2024,11/06/2024,0.087676,1.0081
171,iShares iBonds Dec 2027 Term Treasury ETF,IBTH,11/01/2024,11/06/2024,0.075555,0.90666
172,iShares iBonds Dec 2028 Term Corporate ETF,IBDT,11/01/2024,11/06/2024,0.096663,1.1393
173,iShares iBonds Dec 2028 Term Treasury ETF,IBTI,11/01/2024,11/06/2024,0.072902,0.874824
174,iShares iBonds Dec 2029 Term Corporate ETF,IBDU,11/01/2024,11/06/2024,0.092269,1.0578
175,iShares iBonds Dec 2029 Term Treasury ETF,IBTJ,11/01/2024,11/06/2024,0.072183,0.866196
176,iShares iBonds Dec 2030 Term Corporate ETF,IBDV,11/01/2024,11/06/2024,0.083963,0.9865
177,iShares iBonds Dec 2030 Term Treasury ETF,IBTK,11/01/2024,11/06/2024,0.06386,0.76632
178,iShares iBonds Dec 2031 Term Corporate ETF,IBDW,11/01/2024,11/06/2024,0.084593,1.0064
179,iShares iBonds Dec 2031 Term Treasury ETF,IBTL,11/01/2024,11/06/2024,0.067917,0.815004
180,iShares iBonds Dec 2032 Term Corporate ETF,IBDX,11/01/2024,11/06/2024,0.101846,1.2211
181,iShares iBonds Dec 2032 Term Treasury ETF,IBTM,11/01/2024,11/06/2024,0.073199,0.878388
182,iShares iBonds Dec 2033 Term Corporate ETF,IBDY,11/01/2024,11/06/2024,0.10536,1.2043
183,iShares iBonds Dec 2033 Term Treasury ETF,IBTO,11/01/2024,11/06/2024,0.08365,1.0038
184,iShares iBonds Dec 2034 Term Corporate ETF,IBDZ,11/01/2024,11/06/2024,0.103128,0.9481
185,iShares iBonds Dec 2034 Term Treasury ETF,IBTP,11/01/2024,11/06/2024,0.07159,0.85908
186,iShares iBonds Dec 2044 Term Treasury ETF,IBGA,11/01/2024,11/06/2024,0.09439,1.13268
187,iShares iBonds Dec 2054 Term Treasury ETF,IBGK,11/01/2024,11/06/2024,0.09166,1.09992
188,iShares iBoxx $ High Yield Corporate Bond ETF,HYG,11/01/2024,11/06/2024,0.394556,4.6651
189,iShares iBoxx $ Investment Grade Corporate Bond ETF,LQD,11/01/2024,11/06/2024,0.385242,4.7514
190,iShares Intermediate Muni Income Active ETF,INMU,11/01/2024,11/06/2024,0.063527,0.8212
191,iShares J.P. Morgan USD Emerging Markets Bond ETF,EMB,11/01/2024,11/06/2024,0.422158,5.065896
192,iShares MBS ETF,MBB,11/01/2024,11/06/2024,0.309924,3.719088
193,iShares National Muni Bond ETF,MUB,11/01/2024,11/06/2024,0.268036,3.1332
194,iShares New York Muni Bond ETF,NYF,11/01/2024,11/06/2024,0.122888,1.4345
195,iShares Preferred and Income Securities ETF,PFF,11/01/2024,11/06/2024,0.165327,1.983924
196,iShares Short Treasury Bond ETF,SHV,11/01/2024,11/06/2024,0.466849,5.602188
197,iShares Short-Term California Muni Active ETF,CALI,11/01/2024,11/06/2024,0.128689,1.544268
198,iShares Short-Term National Muni Bond ETF,SUB,11/01/2024,11/06/2024,0.190887,2.1148
199,iShares TIPS Bond ETF,TIP,11/01/2024,11/06/2024,0.089026,3.7508
200,iShares Total Return Active ETF,BRTR,11/01/2024,11/06/2024,0.204651,2.455812
201,iShares Treasury Floating Rate Bond ETF,TFLO,11/01/2024,11/06/2024,0.196523,2.717
202,iShares USD Green Bond ETF,BGRN,11/01/2024,11/06/2024,0.163309,1.959708
203,"J P Morgan Chase & Co Depositary Shares, each representing a 1/400th  interest in a share of 5.75% Non-Cumulative  Preferred Stock, Series DD",JPM^D,11/01/2024,12/02/2024,0.359375,1.4375
204,"J P Morgan Chase & Co Depositary Shares, each representing a 1/400th interest in a share of 4.20% Non-Cumulative Preferred Stock, Series MM",JPM^M,11/01/2024,12/02/2024,0.2625,1.05
205,"J P Morgan Chase & Co Depositary Shares, each representing a 1/400th interest in a share of 4.55% Non-Cumulative Preferred Stock, Series JJ",JPM^K,11/01/2024,12/02/2024,0.284375,1.1375
206,"J P Morgan Chase & Co Depositary Shares, each representing a 1/400th interest in a share of 4.625% Non-Cumulative Preferred Stock, Series LL",JPM^L,11/01/2024,12/02/2024,0.289075,1.1563
207,"J P Morgan Chase & Co Depositary Shares, each representing a 1/400th interest in a share of 6.00% Non-Cumulative  Preferred Stock, Series EE",JPM^C,11/01/2024,12/02/2024,0.375,1.5
208,"J P Morgan Chase & Co Depositary Shares, each representing a 1/400th interest in a share of JPMorgan Chase & Co. 4.75% Non-Cumulative Preferred Stock, Series GG",JPM^J,11/01/2024,12/02/2024,0.296875,1.1875
209,Janus Henderson AAA CLO ETF,JAAA,11/01/2024,11/07/2024,0.2533,3.2658
210,Janus Henderson Corporate Bond ETF,JLQD,11/01/2024,11/07/2024,0.1771,2.0082
211,Janus Henderson Emerging Markets Debt Hard Currency ETF,JEMB,11/01/2024,11/07/2024,0.3068,3.6445
212,Janus Henderson Mortgage-Backed Securities ETF,JMBS,11/01/2024,11/07/2024,0.1919,2.28
213,Janus Henderson Securitized Income ETF,JSI,11/01/2024,11/07/2024,0.3704,2.9831
214,Janus Henderson Short Duration Income ETF,VNLA,11/01/2024,11/07/2024,0.204,2.3098
215,JPMorgan BetaBuilders U.S. Aggregate Bond ETF,BBAG,11/01/2024,11/05/2024,0.1618,1.9024
216,JPMorgan BetaBuilders USD Investment Grade Corporate Bond ETF,BBCB,11/01/2024,11/05/2024,0.1904,2.2327
217,JPMorgan Equity Premium Income ETF,JEPI,11/01/2024,11/05/2024,0.3752,4.2324
218,JPMorgan High Yield Municipal ETF,JMHI,11/01/2024,11/05/2024,0.1888,2.4169
219,JPMorgan Income ETF,JPIE,11/01/2024,11/05/2024,0.2299,2.8234
220,JPMorgan Nasdaq Equity Premium Income ETF,JEPQ,11/01/2024,11/05/2024,0.49362,5.92344
221,JPMorgan Short Duration Core Plus ETF,JSCP,11/01/2024,11/05/2024,0.1842,2.1519
222,JPMorgan Sustainable Municipal Income ETF,JMSI,11/01/2024,11/05/2024,0.1528,1.8466
223,JPMorgan Ultra-Short Income ETF,JPST,11/01/2024,11/05/2024,0.2055,2.6599
224,JPMorgan USD Emerging Markets Sovereign Bond ETF,JPMB,11/01/2024,11/05/2024,0.2007,2.3797
225,"Kodiak Gas Services, Inc. Common Stock",KGS,11/01/2024,11/08/2024,0.41,1.64
226,"Lamb Weston Holdings, Inc. Common Stock ",LW,11/01/2024,11/29/2024,0.36,1.44
227,"Lifetime Brands, Inc. Common Stock",LCUT,11/01/2024,11/15/2024,0.0425,0.17
228,"MDU Resources Group, Inc. Common Stock (Holding Company)",MDU,11/01/2024,10/31/2024,12.875,0.52
229,"MFA Financial, Inc. 9.000% Senior Notes due 2029",MFAO,11/01/2024,11/15/2024,0.5625,2.25
230,National Rural Utilities Cooperative Finance Corporation 5.500% Subordinated Notes due 2064 (Subordinated Deferrable Interest Notes),NRUC,11/01/2024,11/15/2024,0.34375,1.375
231,Natixis Gateway Quality Income ETF,GQI,11/01/2024,11/04/2024,0.3928,4.128
232,Neuberger Berman Flexible Credit Income ETF,NBFC,11/01/2024,11/06/2024,0.342,3.6656
233,Neuberger Berman Option Strategy ETF,NBOS,11/01/2024,11/06/2024,0.1731,2.2188
234,Neuberger Berman Short Duration Income ETF,NBSD,11/01/2024,11/06/2024,0.2397,3.244
235,New Mountain Finance Corporation 8.250% Notes due 2028,NMFCZ,11/01/2024,11/15/2024,0.515625,2.0625
236,Norfolk Southern Corporation Common Stock,NSC,11/01/2024,11/20/2024,1.35,5.4
237,"NRG Energy, Inc. Common Stock",NRG,11/01/2024,11/15/2024,0.4075,1.63
238,Nuveen Core Plus Bond ETF,NCPB,11/01/2024,11/04/2024,0.1129,1.3548
239,Nuveen Enhanced Yield U.S. Aggregate Bond ETF,NUAG,11/01/2024,11/04/2024,0.0753,0.8876
240,Nuveen ESG 1-5 Year U.S. Aggregate Bond ETF,NUSA,11/01/2024,11/04/2024,0.0781,0.944
241,Nuveen ESG High Yield Corporate Bond ETF,NUHY,11/01/2024,11/04/2024,0.1242,1.4084
242,Nuveen ESG U.S. Aggregate Bond ETF,NUBD,11/01/2024,11/04/2024,0.0733,0.7487
243,Nuveen Preferred and Income ETF,NPFI,11/01/2024,11/04/2024,0.1178,1.4136
244,Nuveen Ultra Short Income ETF,NUSB,11/01/2024,11/04/2024,0.1008,1.2096
245,NYLI MacKay California Muni Intermediate ETF,MMCA,11/01/2024,11/06/2024,0.0664,0.8046
246,NYLI MacKay ESG Core Plus Bond ETF,ESGB,11/01/2024,11/06/2024,0.0797,1.1264
247,NYLI MacKay ESG High Income ETF,IQHI,11/01/2024,11/06/2024,0.161,1.9647
248,NYLI MacKay Muni Insured ETF,MMIN,11/01/2024,11/06/2024,0.0808,0.947
249,NYLI MacKay Muni Intermediate ETF,MMIT,11/01/2024,11/06/2024,0.0791,0.9089
250,NYLI MacKay Securitized Income ETF,SECR,11/01/2024,11/06/2024,0.1069,1.3877
251,"ONEOK, Inc. Common Stock",OKE,11/01/2024,11/14/2024,0.99,3.96
252,PGIM AAA CLO ETF,PAAA,11/01/2024,11/07/2024,0.2048,3.198
253,PGIM Active Aggregate Bond ETF,PAB,11/01/2024,11/07/2024,0.1357,1.6842
254,PGIM Active High Yield Bond ETF,PHYL,11/01/2024,11/07/2024,0.2258,2.8583
255,PGIM Floating Rate Income ETF,PFRL,11/01/2024,11/07/2024,0.3444,4.896
